时间戳 借车需求 还车需求 时间戳 借车需求 还车需求
2023-12-15 00:00 0 1 2023-12-15 12:00 2 3
2023-12-15 00:15 0 0 2023-12-15 12:15 2 2
2023-12-15 00:30 1 0 2023-12-15 12:30 3 1
2023-12-15 00:45 0 0 2023-12-15 12:45 2 1
2023-12-15 01:00 0 0 2023-12-15 13:00 4 0
2023-12-15 01:15 1 1 2023-12-15 13:15 3 0
2023-12-15 01:30 0 0 2023-12-15 13:30 2 0
2023-12-15 01:45 0 0 2023-12-15 13:45 1 0
2023-12-15 02:00 0 0 2023-12-15 14:00 1 0
2023-12-15 02:15 0 0 2023-12-15 14:15 0 0
2023-12-15 02:30 1 0 2023-12-15 14:30 0 0
2023-12-15 02:45 0 0 2023-12-15 14:45 0 0
2023-12-15 03:00 0 0 2023-12-15 15:00 1 1
2023-12-15 03:15 1 0 2023-12-15 15:15 2 2
2023-12-15 03:30 0 0 2023-12-15 15:30 2 1
2023-12-15 03:45 0 1 2023-12-15 15:45 3 2
2023-12-15 04:00 1 0 2023-12-15 16:00 3 3
2023-12-15 04:15 1 1 2023-12-15 16:15 4 3
2023-12-15 04:30 0 0 2023-12-15 16:30 4 2
2023-12-15 04:45 0 0 2023-12-15 16:45 5 3
2023-12-15 05:00 2 1 2023-12-15 17:00 5 4
2023-12-15 05:15 1 0 2023-12-15 17:15 6 4
2023-12-15 05:30 2 1 2023-12-15 17:30 6 5
2023-12-15 05:45 3 2 2023-12-15 17:45 7 5
2023-12-15 06:00 2 1 2023-12-15 18:00 6 4
2023-12-15 06:15 3 2 2023-12-15 18:15 5 3
2023-12-15 06:30 3 2 2023-12-15 18:30 4 3
2023-12-15 06:45 4 3 2023-12-15 18:45 4 2
2023-12-15 07:00 4 3 2023-12-15 19:00 3 2
2023-12-15 07:15 5 4 2023-12-15 19:15 2 1
2023-12-15 07:30 5 4 2023-12-15 19:30 2 1
2023-12-15 07:45 6 5 2023-12-15 19:45 1 0
2023-12-15 08:00 6 5 2023-12-15 20:00 1 0
2023-12-15 08:15 7 6 2023-12-15 20:15 0 0
2023-12-15 08:30 5 4 2023-12-15 20:30 0 0
2023-12-15 08:45 4 3 2023-12-15 20:45 0 0
2023-12-15 09:00 3 3 2023-12-15 21:00 0 0
2023-12-15 09:15 3 2 2023-12-15 21:15 0 0
2023-12-15 09:30 2 1 2023-12-15 21:30 0 0
2023-12-15 09:45 2 1 2023-12-15 21:45 0 0
2023-12-15 10:00 1 1 2023-12-15 22:00 0 0
2023-12-15 10:15 1 0 2023-12-15 22:15 0 0
2023-12-15 10:30 0 0 2023-12-15 22:30 0 0
2023-12-15 10:45 0 0 2023-12-15 22:45 0 0
2023-12-15 11:00 1 1 2023-12-15 23:00 0 0
2023-12-15 11:15 2 1 2023-12-15 23:15 0 0
2023-12-15 11:30 2 2 2023-12-15 23:30 0 0
2023-12-15 11:45 3 2 2023-12-15 23:45 0 0
