时间戳	借车需求	还车需求	时间戳	借车需求	还车需求
2023-12-10 00:00	4	5	2023-12-10 12:00	20	22
2023-12-10 00:15	3	4	2023-12-10 12:15	22	24
2023-12-10 00:30	2	3	2023-12-10 12:30	24	26
2023-12-10 00:45	1	2	2023-12-10 12:45	23	25
2023-12-10 01:00	1	1	2023-12-10 13:00	22	24
2023-12-10 01:15	0	1	2023-12-10 13:15	21	23
2023-12-10 01:30	0	0	2023-12-10 13:30	20	22
2023-12-10 01:45	0	0	2023-12-10 13:45	19	21
2023-12-10 02:00	0	0	2023-12-10 14:00	18	20
2023-12-10 02:15	0	0	2023-12-10 14:15	17	19
2023-12-10 02:30	0	0	2023-12-10 14:30	18	20
2023-12-10 02:45	0	0	2023-12-10 14:45	19	21
2023-12-10 03:00	0	0	2023-12-10 15:00	20	22
2023-12-10 03:15	0	0	2023-12-10 15:15	21	23
2023-12-10 03:30	0	0	2023-12-10 15:30	22	24
2023-12-10 03:45	0	0	2023-12-10 15:45	23	25
2023-12-10 04:00	0	0	2023-12-10 16:00	24	26
2023-12-10 04:15	0	0	2023-12-10 16:15	25	27
2023-12-10 04:30	0	0	2023-12-10 16:30	26	28
2023-12-10 04:45	0	0	2023-12-10 16:45	27	29
2023-12-10 05:00	0	0	2023-12-10 17:00	28	30
2023-12-10 05:15	0	0	2023-12-10 17:15	29	31
2023-12-10 05:30	0	0	2023-12-10 17:30	30	32
2023-12-10 05:45	1	1	2023-12-10 17:45	29	31
2023-12-10 06:00	2	2	2023-12-10 18:00	28	30
2023-12-10 06:15	3	3	2023-12-10 18:15	27	29
2023-12-10 06:30	4	4	2023-12-10 18:30	26	28
2023-12-10 06:45	5	5	2023-12-10 18:45	25	27
2023-12-10 07:00	6	6	2023-12-10 19:00	24	26
2023-12-10 07:15	7	7	2023-12-10 19:15	23	25
2023-12-10 07:30	8	8	2023-12-10 19:30	22	24
2023-12-10 07:45	9	9	2023-12-10 19:45	21	23
2023-12-10 08:00	10	10	2023-12-10 20:00	20	22
2023-12-10 08:15	11	11	2023-12-10 20:15	19	21
2023-12-10 08:30	12	12	2023-12-10 20:30	18	20
2023-12-10 08:45	13	13	2023-12-10 20:45	17	19
2023-12-10 09:00	14	14	2023-12-10 21:00	16	18
2023-12-10 09:15	15	15	2023-12-10 21:15	15	17
2023-12-10 09:30	16	16	2023-12-10 21:30	14	16
2023-12-10 09:45	17	17	2023-12-10 21:45	13	15
2023-12-10 10:00	18	18	2023-12-10 22:00	12	14
2023-12-10 10:15	19	19	2023-12-10 22:15	11	13
2023-12-10 10:30	20	20	2023-12-10 22:30	10	12
2023-12-10 10:45	21	21	2023-12-10 22:45	9	11
2023-12-10 11:00	22	22	2023-12-10 23:00	8	10
2023-12-10 11:15	23	23	2023-12-10 23:15	7	9
2023-12-10 11:30	24	24	2023-12-10 23:30	6	8
2023-12-10 11:45	25	/	2023-12-10 23:45	5	7
