时间戳	借车需求	还车需求
2024-06-30 00:00	0	0
2024-06-30 00:15	0	0
2024-06-30 00:30	0	0
2024-06-30 00:45	0	0
2024-06-30 01:00	0	0
2024-06-30 01:15	0	0
2024-06-30 01:30	0	0
2024-06-30 01:45	0	0
2024-06-30 02:00	0	0
2024-06-30 02:15	0	0
2024-06-30 02:30	0	0
2024-06-30 02:45	0	0
2024-06-30 03:00	0	0
2024-06-30 03:15	0	0
2024-06-30 03:30	0	0
2024-06-30 03:45	0	0
2024-06-30 04:00	0	0
2024-06-30 04:15	0	0
2024-06-30 04:30	0	0
2024-06-30 04:45	0	1
2024-06-30 05:00	0	1
2024-06-30 05:15	0	0
2024-06-30 05:30	1	3
2024-06-30 05:45	1	2
2024-06-30 06:00	3	6
2024-06-30 06:15	6	4
2024-06-30 06:30	2	4
2024-06-30 06:45	5	8
2024-06-30 07:00	11	5
2024-06-30 07:15	8	6
2024-06-30 07:30	23	5
2024-06-30 07:45	36	15
2024-06-30 08:00	31	20
2024-06-30 08:15	42	18
2024-06-30 08:30	13	29
2024-06-30 08:45	23	7
2024-06-30 09:00	8	11
2024-06-30 09:15	13	20
2024-06-30 09:30	3	9
2024-06-30 09:45	8	5
2024-06-30 10:00	8	6
2024-06-30 10:15	5	7
2024-06-30 10:30	9	6
2024-06-30 10:45	4	9
2024-06-30 11:00	10	20
2024-06-30 11:15	14	8
2024-06-30 11:30	14	13
2024-06-30 11:45	23	25
2024-06-30 12:00	22	15
2024-06-30 12:15	34	32
2024-06-30 12:30	13	13
2024-06-30 12:45	20	15
2024-06-30 13:00	5	21
2024-06-30 13:15	12	10
2024-06-30 13:30	11	6
2024-06-30 13:45	9	6
2024-06-30 14:00	11	6
2024-06-30 14:15	8	5
2024-06-30 14:30	4	9
2024-06-30 14:45	12	10
2024-06-30 15:00	7	5
2024-06-30 15:15	17	14
2024-06-30 15:30	5	21
2024-06-30 15:45	15	14
2024-06-30 16:00	20	21
2024-06-30 16:15	16	8
2024-06-30 16:30	25	19
2024-06-30 16:45	11	19
2024-06-30 17:00	28	23
2024-06-30 17:15	29	22
2024-06-30 17:30	26	35
2024-06-30 17:45	33	38
2024-06-30 18:00	37	37
2024-06-30 18:15	36	25
2024-06-30 18:30	44	28
2024-06-30 18:45	34	9
2024-06-30 19:00	22	29
2024-06-30 19:15	22	30
2024-06-30 19:30	16	14
2024-06-30 19:45	21	25
2024-06-30 20:00	6	5
2024-06-30 20:15	14	11
2024-06-30 20:30	7	11
2024-06-30 20:45	11	10
2024-06-30 21:00	4	8
2024-06-30 21:15	9	8
2024-06-30 21:30	4	6
2024-06-30 21:45	6	7
2024-06-30 22:00	1	3
2024-06-30 22:15	1	2
2024-06-30 22:30	1	2
2024-06-30 22:45	2	0
2024-06-30 23:00	0	1
2024-06-30 23:15	0	1
2024-06-30 23:30	0	0
2024-06-30 23:45	0	0
